State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,,,,,,,,,2000-2009
Kachin,1052,1157,1308,1393,1423,1453,1484,1511,1539,1560,0.09980988593,0.1305099395,0.06498470948,0.02153625269,0.02108222066,0.02133516862,0.01819407008,0.01853077432,0.01364522417,3.872729494
Kayah,206,234,277,301,310,319,328,336,344,351,0.1359223301,0.1837606838,0.08664259928,0.02990033223,0.02903225806,0.02821316614,0.0243902439,0.02380952381,0.02034883721,5.326220555
Kayin,1225,1349,1512,1607,1641,1674,1709,1740,1771,1794,0.1012244898,0.1208302446,0.06283068783,0.02115743622,0.02010968921,0.02090800478,0.01813926273,0.01781609195,0.01298701299,3.684730379
Chin,411,444,480,502,510,518,526,533,541,545,0.0802919708,0.08108108108,0.04583333333,0.01593625498,0.01568627451,0.01544401544,0.01330798479,0.01500938086,0.007393715342,2.621150504
Sagaing,4514,4985,5418,5777,5901,6028,6159,6274,6392,6480,0.104342047,0.08686058175,0.06626061277,0.0214644279,0.02152177597,0.02173191772,0.01867186232,0.01880777813,0.01376720901,3.36357707
Tanintharyi,1089,1214,1388,1490,1525,1562,1599,1632,1665,1691,0.1147842057,0.1433278418,0.0734870317,0.02348993289,0.02426229508,0.02368758003,0.02063789869,0.02022058824,0.01561561562,4.309109801
Bago,4310,4687,5146,5420,5514,5609,5707,5793,5879,5944,0.08747099768,0.09793044591,0.05324523902,0.01734317343,0.01722887196,0.01747192013,0.01506921325,0.01484550319,0.01105630209,3.052383362
Magway,3771,4145,4675,4976,5080,5187,5296,5392,5491,5564,0.09917793689,0.1278648975,0.06438502674,0.02090032154,0.02106299213,0.02101407365,0.01812688822,0.01836053412,0.01329448188,3.812615197
Mandalay,5370,5944,6935,7407,7571,7739,7910,8062,8216,8333,0.1068901304,0.1667227456,0.06806056236,0.02214121777,0.02218993528,0.02209587802,0.01921618205,0.01910195981,0.01424050633,4.422112341
Mon,1996,2233,2548,2735,2801,2868,2936,2997,3060,3106,0.1187374749,0.1410658307,0.07339089482,0.02413162706,0.02392002856,0.02370990237,0.02077656676,0.02102102102,0.01503267974,4.288106888
Rakhine,2328,2524,2812,2968,3023,3078,3134,3183,3233,3271,0.08419243986,0.1141045959,0.05547652916,0.0185309973,0.01819384717,0.01819363223,0.01563497128,0.01570845115,0.01175378905,3.344960165
Yangon,4649,5126,5801,6188,6322,6460,6600,6724,6849,6944,0.1026027103,0.1316816231,0.06671263575,0.02165481577,0.02182853527,0.02167182663,0.01878787879,0.01859012493,0.01387063805,3.934975979
Shan,4162,4486,4904,5142,5223,5306,5390,5464,5539,5595,0.07784718885,0.09317877842,0.04853181077,0.01575262544,0.01589125024,0.01583113456,0.01372912801,0.01372620791,0.01011012818,2.834388294
Ayeyarwady,5703,6216,6921,7318,7455,7595,7737,7863,7858,7952,0.0899526565,0.1134169884,0.05736165294,0.01872096201,0.01877934272,0.01869651086,0.01628538193,-0.0006358896096,0.01196233138,3.182341008