"Cities, provincies",Total 2001,Total 2002,Total 2003,Total 2004,Total 2005,Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,,,,,,,,,,Pop 2001-2010
Red River Delta,18249.9,18432.9,18617.5,18807.9,18976.7,19108.9,19228.8,19473.7,19618.1,19851.9,0.010027452,0.010014702,0.010226937,0.008974952,0.006966438,0.006274563,0.012736104,0.007415129,0.011917566,0.939487149
Ha Noi,2852.9,2928.3,3000.3,3071.4,3133.4,3184.8,3228.5,6381.8,6472,6633.6,0.026429247,0.024587645,0.02369763,0.020186234,0.016403906,0.013721427,0.976707449,0.014133943,0.024969098,12.675962
Ha Tay,2475.5,2527,2587.3,2649.1,2702.9,2742.4,2773.7,..,..,..,0.020803878,0.023862287,0.023885904,0.020308784,0.014613933,0.011413361,,,,1.914802456
Vinh Phuc,1114.1,1124.3,1134.1,1145.2,1157,1166,1174.1,993.8,1000.4,1007.6,0.009155372,0.008716535,0.009787497,0.010303877,0.007778738,0.006946827,-0.153564432,0.006641175,0.007197121,-0.967081005
Bac Ninh,958.9,967.6,975.3,983.2,991.1,999.8,1009.4,1018.1,1026.5,1044.2,0.009072896,0.007957834,0.008100072,0.008034988,0.008778125,0.00960192,0.008618982,0.008250663,0.017243059,0.95176154
Quang Ninh,1039.3,1054.4,1068.4,1081.8,1096.1,1109.3,1122.5,1135.1,1146.1,1157.2,0.01452901,0.013277693,0.012542119,0.01321871,0.012042697,0.011899396,0.011224944,0.009690776,0.009685019,1.201226267
Hai Duong,1662.7,1668.1,1673.7,1680.4,1685.5,1689.7,1694.7,1700.8,1706.8,1716.4,0.00324773,0.003357113,0.004003107,0.003034992,0.002491842,0.002959105,0.003599457,0.003527752,0.005624561,0.353840642
Hai Phong city,1708.6,1725.3,1741,1757.8,1773.4,1789.1,1806.5,1824.1,1840.4,1857.8,0.009774084,0.009099867,0.009649627,0.00887473,0.008853051,0.00972556,0.009742596,0.008935914,0.009454466,0.934554382
Hung Yen,1086,1091.5,1097,1104.3,1111,1116.4,1121.3,1126.2,1128.6,1132.3,0.005064457,0.005038937,0.006654512,0.006067192,0.004860486,0.004389108,0.004369928,0.00213106,0.003278398,0.465045311
Thai Binh,1790.3,1790.9,1790.9,1791.2,1790.5,1787.4,1783.9,1782.7,1783.1,1784.7,0.000335139,0,0.000167514,-0.000390799,-0.00173136,-0.001958152,-0.000672683,0.000224379,0.000897314,-0.034762767
Ha Nam,793.2,792.8,792.3,791.9,791.3,790,788.4,786.9,786.2,786.3,-0.000504286,-0.000630676,-0.000504859,-0.000757671,-0.001642866,-0.002025316,-0.001902588,-0.000889567,0.000127194,-0.097007066
Nam Dinh,1879.7,1872.8,1866.3,1859.4,1851,1839.4,1829.7,1826.1,1828.4,1830,-0.003670799,-0.003470739,-0.003697155,-0.004517586,-0.006266883,-0.005273459,-0.001967536,0.001259515,0.000875082,-0.2969951
Ninh Binh,888.7,889.9,890.9,892.2,893.5,894.6,896.1,898.1,899.6,901.7,0.001350287,0.001123722,0.001459199,0.001457072,0.001231114,0.001676727,0.002231894,0.001670193,0.002334371,0.161495306
Northern midlands and mountain areas,10321.8,10440,10559.5,10681,10798.7,10904.3,11004.2,10997.3,11073.5,11184.3,0.011451491,0.01144636,0.011506227,0.011019567,0.009778955,0.009161523,-0.000627033,0.006928973,0.01000587,0.896354818
Ha Giang,631.6,643.9,656.2,669,681.7,693.4,704.9,716.2,725.1,733.8,0.019474351,0.019102345,0.019506248,0.018983558,0.017162975,0.016584944,0.016030643,0.012426696,0.011998345,1.680778938
Cao Bang,496.2,498.7,500.8,502.8,504.9,506.8,508.6,510.5,511.2,513.1,0.005038291,0.004210948,0.00399361,0.004176611,0.003763121,0.003551697,0.003735745,0.001371205,0.003716745,0.372866376
Bac Kan,280.5,282.5,284.4,286.5,288.4,290,291.8,293.6,294.6,297.5,0.007130125,0.006725664,0.007383966,0.006631763,0.00554785,0.006206897,0.006168609,0.003405995,0.009843856,0.656052482
Tuyen Quang,690.2,696.3,701.9,707.5,712.1,715.7,719.4,723.5,725.2,729.3,0.008838018,0.00804251,0.007978344,0.006501767,0.00505547,0.005169764,0.005699194,0.002349689,0.005653613,0.614315209
Lao Cai,616.6,625.7,634.2,573.9,581.4,590.2,598.3,606.5,615.8,626.8,0.014758352,0.013584785,-0.095080416,0.013068479,0.015135879,0.013724161,0.013705499,0.015333883,0.017862943,0.245484049
Yen Bai,694.1,700.1,706.8,713.5,719.5,725.4,731.6,737.5,741.7,751.3,0.008644288,0.009570061,0.009479344,0.00840925,0.008200139,0.008547009,0.008064516,0.005694915,0.012943239,0.883919557
Thai Nguyen,1063.6,1071,1079.5,1089,1098.5,1106.5,1113,1120.3,1125.4,1131.3,0.006957503,0.007936508,0.008800371,0.0087236,0.007282658,0.005874379,0.00655885,0.004552352,0.00524258,0.68809778
Lang Son,710.5,713.2,716.7,720.5,724.1,726.3,728.2,730.7,733.2,736.3,0.003800141,0.004907459,0.005302079,0.00499653,0.003038254,0.002615999,0.003433123,0.003421377,0.004228041,0.397144484
Bac Giang,1509.1,1515.8,1522.6,1530.3,1537.3,1543,1548.8,1554.6,1556.9,1569.8,0.004439732,0.00448608,0.005057139,0.004574266,0.003707799,0.003758911,0.003744835,0.00147948,0.008285696,0.439265993
Phu Tho,1276,1281.4,1286.3,1291.7,1297.3,1301.5,1305.6,1311.5,1316.6,1322.7,0.004231975,0.003823943,0.004198088,0.004335372,0.003237493,0.003150211,0.004518995,0.003888677,0.004633146,0.400198886
Dien Bien,..,..,..,423.3,438.5,452.7,466,479.3,490.8,501.2,,,,0.035908339,0.032383124,0.02937928,0.028540773,0.023993324,0.021189894,2.856578893
Lai Chau,638.7,661.6,684.7,351.3,356.7,360.7,364.4,367.9,371.4,380.8,0.035854079,0.034915357,-0.486928582,0.015371477,0.011213905,0.010257832,0.00960483,0.009513455,0.025309639,-3.720977868
Son La,931.4,953,974.5,994.6,1014.5,1033.5,1050.8,1067.2,1079.2,1098.9,0.023190895,0.022560336,0.020625962,0.020008043,0.018728438,0.016739236,0.015607156,0.011244378,0.018254262,1.85509674
Hoa Binh,783.3,796.8,810.9,827.1,843.8,858.6,872.8,778,786.4,791.6,0.017234776,0.017695783,0.019977802,0.020191029,0.017539701,0.016538551,-0.108615949,0.010796915,0.006612411,0.199678004
Northern Central area and Central coastal area,18305.4,18384.2,18459.6,18538.5,18608.6,18667.4,18729.1,18797.9,18855.7,18975.2,0.004304741,0.004101348,0.004274199,0.00378132,0.003159829,0.003305227,0.003673428,0.003074812,0.006337606,0.400138996
Thanh Hoa,3464,3457.8,3449.8,3442.6,3436.4,3428,3417.3,3408.8,3404.3,3421.8,-0.001789838,-0.00231361,-0.002087078,-0.001800964,-0.002444419,-0.003121354,-0.002487344,-0.001320113,0.005140558,-0.135824012
Nghe An,2877,2881.6,2884.9,2890,2895.6,2900.1,2905.2,2912.1,2914.5,2934.1,0.001598888,0.001145197,0.001767826,0.001937716,0.001554082,0.00175856,0.002375052,0.000824148,0.006724996,0.218738485
Ha Tinh,1265.1,1260.8,1256.3,1252.2,1247.8,1243.6,1239,1234,1227.8,1232.7,-0.003398941,-0.003569162,-0.003263552,-0.003513816,-0.003365924,-0.003698939,-0.004035513,-0.005024311,0.003990878,-0.287547543
Quang Binh,808.1,814.8,819.8,825,830.3,834.5,838.5,843.5,845,848.6,0.008291053,0.006136475,0.00634301,0.006424242,0.005058413,0.004793289,0.005963029,0.001778305,0.004260355,0.544979691
Quang Tri,580.8,583.9,586.3,588.6,590.3,591.9,594.1,596.7,598.6,601.7,0.005337466,0.004110293,0.003922906,0.002888209,0.002710486,0.003716844,0.004376368,0.00318418,0.00517875,0.393616689
Thua Thien Hue,1056.3,1060.1,1064.2,1068.6,1072.9,1076.9,1081,1084.9,1087.6,1090.9,0.003597463,0.00386756,0.004134561,0.004023957,0.003728213,0.003807224,0.003607771,0.002488709,0.003034204,0.35877401
Da Nang city,723.1,739.7,760.7,784.8,805.7,825.9,847.5,868.8,894.5,922.7,0.022956714,0.028389888,0.031681346,0.026630989,0.025071367,0.026153287,0.025132743,0.029581031,0.031525992,2.745815084
Quang Nam,1388.8,1394.3,1398.6,1403,1407.4,1410.8,1413.9,1417.8,1423,1433.2,0.003960253,0.003083985,0.003146003,0.003136137,0.002415802,0.002197335,0.002758328,0.003667654,0.007167955,0.350371694
Quang Ngai,1197.8,1200.6,1203.2,1206.5,1210,1212.6,1214.8,1217,1217.2,1221,0.002337619,0.002165584,0.002742686,0.002900953,0.00214876,0.001814283,0.001810998,0.000164339,0.003121919,0.213412681
Binh Dinh,1468.4,1470.7,1473.1,1475.5,1477.8,1480.1,1482.3,1485.6,1487.4,1492,0.001566331,0.001631876,0.001629217,0.001558794,0.001556368,0.001486386,0.00222627,0.001211632,0.003092645,0.177327975
Phu Yen,808.4,816.8,824.8,832,838.2,844.3,850.3,856.7,862.4,866.1,0.010390896,0.009794319,0.008729389,0.007451923,0.007277499,0.007106479,0.007526755,0.006653438,0.004290353,0.769122783
Khanh Hoa,1063.8,1077.2,1091.1,1104,1115,1125.2,1137.5,1149.3,1158.2,1164.3,0.012596353,0.012903825,0.011822931,0.009963768,0.009147982,0.01093139,0.010373626,0.007743844,0.005266793,1.008339026
Ninh Thuan,525.8,532.5,538.2,543.5,547.9,551.4,555.8,560.7,565.8,569.5,0.012742488,0.010704225,0.00984764,0.008095676,0.006388027,0.007979688,0.008816121,0.009095773,0.006539413,0.891211687
Binh Thuan,1078,1093.4,1108.6,1122.2,1133.3,1142.1,1151.9,1162,1169.4,1176.8,0.014285714,0.013901591,0.012267725,0.009891285,0.007764934,0.008580685,0.008768122,0.00636833,0.006328031,0.979515765
Central Highlands,4367.5,4465.3,4561.2,4664.2,4768.2,4860.9,4948,5036.7,5128.8,5204.4,0.022392673,0.02147672,0.022581777,0.0222975,0.019441299,0.017918492,0.017926435,0.018285782,0.01474029,1.967344099
Kon Tum,339,350.2,361.5,373.7,386,396.6,408.1,420.5,431.8,442.1,0.033038348,0.032267276,0.033748271,0.032914102,0.02746114,0.02899647,0.03038471,0.026872771,0.023853636,2.99485248
Gia Lai,1065.6,1092.9,1119.1,1147.1,1174.6,1200.5,1225.5,1251.3,1281,1301.6,0.025619369,0.023972916,0.025020105,0.023973498,0.02205006,0.020824656,0.021052632,0.023735315,0.016081187,2.248108208
Dak Lak,1912.2,1954.5,1995.6,1635.6,1658.5,1677.8,1696.6,1715.1,1735.7,1752.7,0.022121117,0.021028396,-0.180396873,0.014000978,0.011637021,0.01120515,0.010904161,0.012010961,0.009794319,-0.752164098
Dak Nong,..,..,..,403.4,423.6,440.9,457.3,474.4,491,503.8,,,,0.050074368,0.040840415,0.037196643,0.037393396,0.034991568,0.026069246,3.776093956
Lam Dong,1050.7,1067.7,1085,1104.4,1125.5,1145.1,1160.5,1175.4,1189.3,1204.1,0.01617969,0.016203053,0.017880184,0.019105397,0.017414482,0.013448607,0.012839293,0.011825761,0.012444295,1.526008481
South East,10955.6,11282.1,11629.9,11990.7,12380.6,12822.8,13266.4,13683.6,14149,14480.3,0.02980211,0.030827594,0.031023483,0.032516867,0.03571717,0.034594628,0.031447868,0.034011517,0.023415082,3.148403568
Binh Phuoc,707.9,732.6,754.6,777.4,799.6,819,838.3,858,875,885.8,0.034891934,0.03003003,0.030214683,0.028556728,0.024262131,0.023565324,0.02349994,0.01981352,0.012342857,2.524190519
Tay Ninh,996.5,1007.2,1017.9,1029.2,1038.2,1046.4,1053,1060.5,1067.2,1074.3,0.010737582,0.010623511,0.011101287,0.008744656,0.007898285,0.006307339,0.007122507,0.006317775,0.006652924,0.838954061
Binh Duong,845.5,910,973.1,1037.1,1109.3,1203.7,1307,1402.7,1512.5,1590.8,0.076286221,0.069340659,0.065769191,0.069617202,0.085098711,0.085818726,0.073221117,0.078277607,0.051768595,7.279978107
Dong Nai,2093.7,2132.1,2176.1,2220.5,2263.8,2314.9,2372.6,2432.7,2499.7,2571.5,0.018340736,0.020636931,0.020403474,0.019500113,0.022572665,0.024925483,0.025330861,0.027541415,0.028723447,2.310834716
Ba Ria - Vung Tau,858,880.8,899.1,918.9,938.8,955.7,970.2,983.6,998.5,1011.3,0.026573427,0.020776567,0.022022022,0.021656328,0.018001704,0.015172125,0.013811585,0.015148434,0.012819229,1.844238016
Ho Chi Minh city,5454,5619.4,5809.1,6007.6,6230.9,6483.1,6725.3,6946.1,7196.1,7346.6,0.030326366,0.033758052,0.034170526,0.037169585,0.040475694,0.037358671,0.032831249,0.03599142,0.020914106,3.366618544
Mekong River Delta,16420.3,16533.2,16639.7,16754.1,16859.3,16946.9,17042,17129.5,17199.9,17251.3,0.006875636,0.006441584,0.006875124,0.00627906,0.005195945,0.005611646,0.005134374,0.004109869,0.002988389,0.550129191
Long An,1343.1,1356.5,1369,1382.2,1393.4,1405.2,1417.9,1428.2,1436.3,1442.8,0.009976919,0.009214891,0.009642075,0.008103024,0.008468494,0.009037859,0.007264264,0.005671475,0.004525517,0.798939092
Tien Giang,1620.1,1626.7,1634,1642.7,1650.1,1655.3,1661.6,1668,1672.8,1678,0.004073823,0.004487613,0.005324357,0.004504779,0.003151324,0.003805957,0.003851709,0.002877698,0.00310856,0.390953556
Ben Tre,1294.9,1289,1282.8,1277.6,1273.2,1269.3,1264.8,1259.6,1256.1,1256.6,-0.004556336,-0.00480993,-0.004053633,-0.003443957,-0.003063148,-0.003545261,-0.004111322,-0.00277866,0.000398057,-0.332935446
Tra Vinh,975.3,979.2,982.5,986.3,990.2,993.7,997.2,1000.8,1003.2,1008,0.00399877,0.003370098,0.003867684,0.003954172,0.003534639,0.00352219,0.003610108,0.002398082,0.004784689,0.367115915
Vinh Long,1014.6,1015.9,1017.4,1018.8,1020.2,1021.6,1022.8,1024,1025.1,1026.5,0.001281293,0.001476523,0.001376057,0.001374166,0.00137228,0.001174628,0.00117325,0.001074219,0.00136572,0.129645953
Dong Thap,1592.2,1603.5,1614.3,1626.6,1639.5,1646.8,1654.5,1662.5,1666.6,1669.6,0.007097098,0.006735267,0.007619402,0.007930653,0.004452577,0.004675735,0.004835298,0.002466165,0.001800072,0.529025181
An Giang,2073.8,2085.6,2096.3,2107.4,2118.1,2125.8,2134.3,2142.6,2147.6,2148.3,0.005690038,0.005130418,0.005295044,0.005077346,0.003635334,0.003998495,0.003888863,0.002333613,0.000325945,0.393056617
Kien Giang,1540.9,1559.6,1578.9,1599.1,1619.8,1637.8,1654.9,1672.3,1688.5,1698.7,0.012135765,0.012374968,0.012793717,0.012944781,0.011112483,0.010440835,0.01051423,0.009687257,0.006040865,1.089387798
Can Tho city,1845.7,1859.9,1873.5,1138.1,1149,1160.5,1172,1180.9,1188.6,1197.9,0.007693558,0.007312221,-0.392527355,0.009577366,0.010008703,0.009909522,0.007593857,0.006520451,0.007824331,-3.623192745
Hau Giang,..,..,..,749.8,751.5,752.8,754.7,756.3,758,759.8,,,,0.002267271,0.001729874,0.002523911,0.002120048,0.002247785,0.00237467,0.221059312
Soc Trang,1210.3,1224.6,1237.4,1249.8,1258.6,1265.6,1276.3,1285.1,1293.2,1295.6,0.011815252,0.010452393,0.010021012,0.007041127,0.005561735,0.008454488,0.006894931,0.006303011,0.001855861,0.759997891
Bac Lieu,764.2,777.4,789.1,801.3,812.8,823.8,835.8,847.5,856.8,861,0.017272965,0.015050167,0.015460651,0.014351679,0.013533465,0.014566642,0.013998564,0.010973451,0.004901961,1.334550507
Ca Mau,1145.2,1155.3,1164.5,1174.4,1182.9,1188.7,1195.2,1201.7,1207.1,1208.5,0.00881942,0.0079633,0.008501503,0.007237738,0.004903204,0.005468158,0.00543842,0.004493634,0.001159804,0.599835359
